method,minCauses.sorted,cause.count,test.uniq-count
BIS,FLAGGED_API,1,191
BIS,FLAGGED_API MONITORENTER,2,53
BIS,FLAGGED_API MONITORENTER MONITOREXIT,3,52
BIS,FLAGGED_API MONITORENTER MONITOREXIT RUNNABLE_CALLABLE_START,4,63
BIS,FLAGGED_API MONITORENTER MONITOREXIT RUNNABLE_CALLABLE_START SYNCHRONIZED_METHOD_ENTER,5,1
BIS,FLAGGED_API MONITORENTER MONITOREXIT RUNNABLE_CALLABLE_START SYNCHRONIZED_METHOD_ENTER SYNCHRONIZED_METHOD_EXIT,6,130
BIS,FLAGGED_API MONITORENTER MONITOREXIT RUNNABLE_CALLABLE_START SYNCHRONIZED_METHOD_EXIT,5,6
BIS,FLAGGED_API MONITORENTER MONITOREXIT SYNCHRONIZED_METHOD_ENTER,4,15
BIS,FLAGGED_API MONITORENTER MONITOREXIT SYNCHRONIZED_METHOD_ENTER SYNCHRONIZED_METHOD_EXIT,5,148
BIS,FLAGGED_API MONITORENTER MONITOREXIT SYNCHRONIZED_METHOD_EXIT,4,18
BIS,FLAGGED_API MONITORENTER RUNNABLE_CALLABLE_START,3,8
BIS,FLAGGED_API MONITORENTER RUNNABLE_CALLABLE_START SYNCHRONIZED_METHOD_ENTER,4,1
BIS,FLAGGED_API MONITORENTER RUNNABLE_CALLABLE_START SYNCHRONIZED_METHOD_ENTER SYNCHRONIZED_METHOD_EXIT,5,3
BIS,FLAGGED_API MONITORENTER SYNCHRONIZED_METHOD_ENTER,3,4
BIS,FLAGGED_API MONITORENTER SYNCHRONIZED_METHOD_ENTER SYNCHRONIZED_METHOD_EXIT,4,44
BIS,FLAGGED_API MONITORENTER SYNCHRONIZED_METHOD_EXIT,3,19
BIS,FLAGGED_API MONITOREXIT,2,66
BIS,FLAGGED_API MONITOREXIT RUNNABLE_CALLABLE_START,3,5
BIS,FLAGGED_API MONITOREXIT RUNNABLE_CALLABLE_START SYNCHRONIZED_METHOD_ENTER,4,1
BIS,FLAGGED_API MONITOREXIT RUNNABLE_CALLABLE_START SYNCHRONIZED_METHOD_ENTER SYNCHRONIZED_METHOD_EXIT,5,1
BIS,FLAGGED_API MONITOREXIT SYNCHRONIZED_METHOD_ENTER,3,21
BIS,FLAGGED_API MONITOREXIT SYNCHRONIZED_METHOD_ENTER SYNCHRONIZED_METHOD_EXIT,4,42
BIS,FLAGGED_API MONITOREXIT SYNCHRONIZED_METHOD_EXIT,3,27
BIS,FLAGGED_API RUNNABLE_CALLABLE_START,2,30
BIS,FLAGGED_API RUNNABLE_CALLABLE_START SYNCHRONIZED_METHOD_ENTER,3,3
BIS,FLAGGED_API RUNNABLE_CALLABLE_START SYNCHRONIZED_METHOD_ENTER SYNCHRONIZED_METHOD_EXIT,4,11
BIS,FLAGGED_API SYNCHRONIZED_METHOD_ENTER,2,36
BIS,FLAGGED_API SYNCHRONIZED_METHOD_ENTER SYNCHRONIZED_METHOD_EXIT,3,84
BIS,FLAGGED_API SYNCHRONIZED_METHOD_EXIT,2,47
BIS,MONITORENTER,1,77
BIS,MONITORENTER MONITOREXIT,2,74
BIS,MONITORENTER MONITOREXIT SYNCHRONIZED_METHOD_ENTER,3,5
BIS,MONITORENTER MONITOREXIT SYNCHRONIZED_METHOD_ENTER SYNCHRONIZED_METHOD_EXIT,4,14
BIS,MONITORENTER MONITOREXIT SYNCHRONIZED_METHOD_EXIT,3,3
BIS,MONITORENTER RUNNABLE_CALLABLE_START,2,3
BIS,MONITORENTER RUNNABLE_CALLABLE_START SYNCHRONIZED_METHOD_ENTER SYNCHRONIZED_METHOD_EXIT,4,2
BIS,MONITORENTER RUNNABLE_CALLABLE_START SYNCHRONIZED_METHOD_EXIT,3,1
BIS,MONITORENTER SYNCHRONIZED_METHOD_ENTER,2,10
BIS,MONITORENTER SYNCHRONIZED_METHOD_ENTER SYNCHRONIZED_METHOD_EXIT,3,32
BIS,MONITORENTER SYNCHRONIZED_METHOD_EXIT,2,16
BIS,MONITOREXIT,1,71
BIS,MONITOREXIT RUNNABLE_CALLABLE_START SYNCHRONIZED_METHOD_ENTER SYNCHRONIZED_METHOD_EXIT,4,1
BIS,MONITOREXIT SYNCHRONIZED_METHOD_ENTER,2,22
BIS,MONITOREXIT SYNCHRONIZED_METHOD_ENTER SYNCHRONIZED_METHOD_EXIT,3,17
BIS,MONITOREXIT SYNCHRONIZED_METHOD_EXIT,2,37
BIS,RUNNABLE_CALLABLE_START,1,62
BIS,RUNNABLE_CALLABLE_START SYNCHRONIZED_METHOD_ENTER,2,20
BIS,RUNNABLE_CALLABLE_START SYNCHRONIZED_METHOD_ENTER SYNCHRONIZED_METHOD_EXIT,3,1
BIS,SYNCHRONIZED_METHOD_ENTER,1,63
BIS,SYNCHRONIZED_METHOD_ENTER SYNCHRONIZED_METHOD_EXIT,2,45
BIS,SYNCHRONIZED_METHOD_EXIT,1,81
